,symbol,metric,value
0,MMM,Previous Close,100.79 
1,MMM,Open,100.42 
2,MMM,Bid,100.21 x 3100
3,MMM,Ask,100.23 x 800
4,MMM,Day's Range,98.91 - 100.52 
5,MMM,52 Week Range,71.36 - 106.04 
6,MMM,Volume,"1,330,100 "
7,MMM,Avg. Volume,"5,965,115 "
8,MMM,Market Cap (intraday),55.552B 
9,MMM,Beta (5Y Monthly),1.04
10,MMM,PE Ratio (TTM),-- 
11,MMM,EPS (TTM),-12.73 
12,MMM,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
13,MMM,Forward Dividend & Yield,2.80 (2.76%)
14,MMM,Ex-Dividend Date,"May 23, 2024"
15,MMM,1y Target Est,105.69 
16,AOS,Previous Close,85.36 
17,AOS,Open,85.49 
18,AOS,Bid,85.14 x 800
19,AOS,Ask,86.00 x 1400
20,AOS,Day's Range,84.84 - 85.72 
21,AOS,52 Week Range,63.88 - 89.96 
22,AOS,Volume,"634,854 "
23,AOS,Avg. Volume,"942,148 "
24,AOS,Market Cap (intraday),12.567B 
25,AOS,Beta (5Y Monthly),1.26
26,AOS,PE Ratio (TTM),22.25 
27,AOS,EPS (TTM),3.85 
28,AOS,Earnings Date,"Jul 25, 2024 - Aug 1, 2024"
29,AOS,Forward Dividend & Yield,1.28 (1.49%)
30,AOS,Ex-Dividend Date,"Apr 29, 2024"
31,AOS,1y Target Est,88.23 
32,ABT,Previous Close,103.21 
33,ABT,Open,103.52 
34,ABT,Bid,103.11 x 800
35,ABT,Ask,103.13 x 1100
36,ABT,Day's Range,103.00 - 103.86 
37,ABT,52 Week Range,89.67 - 121.64 
38,ABT,Volume,"718,604 "
39,ABT,Avg. Volume,"5,725,158 "
40,ABT,Market Cap (intraday),179.286B 
41,ABT,Beta (5Y Monthly),0.75
42,ABT,PE Ratio (TTM),32.11 
43,ABT,EPS (TTM),3.21 
44,ABT,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
45,ABT,Forward Dividend & Yield,2.20 (2.13%)
46,ABT,Ex-Dividend Date,"Apr 12, 2024"
47,ABT,1y Target Est,126.23 
48,ABBV,Previous Close,162.93 
49,ABBV,Open,161.57 
50,ABBV,Bid,161.51 x 800
51,ABBV,Ask,161.58 x 1200
52,ABBV,Day's Range,159.57 - 161.94 
53,ABBV,52 Week Range,130.96 - 182.89 
54,ABBV,Volume,"1,468,163 "
55,ABBV,Avg. Volume,"5,586,153 "
56,ABBV,Market Cap (intraday),283.581B 
57,ABBV,Beta (5Y Monthly),0.59
58,ABBV,PE Ratio (TTM),47.79 
59,ABBV,EPS (TTM),3.36 
60,ABBV,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
61,ABBV,Forward Dividend & Yield,6.20 (3.81%)
62,ABBV,Ex-Dividend Date,"Apr 12, 2024"
63,ABBV,1y Target Est,183.11 
64,ACN,Previous Close,305.70 
65,ACN,Open,306.79 
66,ACN,Bid,--
67,ACN,Ask,308.00 x 900
68,ACN,Day's Range,302.96 - 307.15 
69,ACN,52 Week Range,284.90 - 387.51 
70,ACN,Volume,"1,837,598 "
71,ACN,Avg. Volume,"2,798,820 "
72,ACN,Market Cap (intraday),190.907B 
73,ACN,Beta (5Y Monthly),1.21
74,ACN,PE Ratio (TTM),27.55 
75,ACN,EPS (TTM),11.02 
76,ACN,Earnings Date,"Jun 20, 2024"
77,ACN,Forward Dividend & Yield,5.16 (1.70%)
78,ACN,Ex-Dividend Date,"Apr 10, 2024"
79,ACN,1y Target Est,383.36 
80,ADBE,Previous Close,483.93 
81,ADBE,Open,488.38 
82,ADBE,Bid,486.99 x 100
83,ADBE,Ask,487.69 x 100
84,ADBE,Day's Range,485.00 - 491.68 
85,ADBE,52 Week Range,374.09 - 638.25 
86,ADBE,Volume,"866,065 "
87,ADBE,Avg. Volume,"3,498,924 "
88,ADBE,Market Cap (intraday),218.292B 
89,ADBE,Beta (5Y Monthly),1.28
90,ADBE,PE Ratio (TTM),46.63 
91,ADBE,EPS (TTM),10.45 
92,ADBE,Earnings Date,"Jun 13, 2024"
93,ADBE,Forward Dividend & Yield,--
94,ADBE,Ex-Dividend Date,"Mar 24, 2005"
